"",,Side,Adjudicators
"🥑Stanford 1",1st,Closing Opposition,"Jane MentzingerC, Elaina Taylor, Teddy Wyman, Sue RiegerT"
"👣Swarthmore 1",2nd,Opening Government,"Andrew KaoC, Chris Costello, Lucy Augustine"
"🕰Tufts 1",4th,Closing Government,"Isaac BothamC, Adam Chih, Rachael Burch"
"🛹Tufts 2",2nd,Opening Government,"Niki LinganurC, Carson Crane, Ciara McLaughlin"
"🎒Tufts 3",4th,Closing Opposition,"Buzz KlingerC, John Rief, Katrina Burlet"
"😑UCLA 1",1st,Closing Opposition,"Johanna RichterC, Alexander Fraser, Robert Margesson"
"🤕UCLA 2",3rd,Closing Government,"Joshua HarperC, Quang Trịnh"
"🏹UCLA 3",3rd,Closing Government,"Natalie LyellC, Alex Loeb, Ivan Ramirez"
"🌌UCLA 4",2nd,Closing Opposition,"Jevon HenryC, Becca Poliquin, David Register"
"🖤UCSD 1",3rd,Opening Opposition,"Andrew KaoC, Chris Costello, Lucy Augustine"
"🌵UCSD 2",4th,Opening Government,"John SteinbergC, Liz Rangel, Logan Bishop"
"🦙UCSD 3",4th,Opening Opposition,"Jason WoodsC, Lauren Blackwelder, Matt Stannard"
"🦋USAFA 1",4th,Closing Government,"Templeton KayC, Sophie LaRose, Thomas Liu, Eleanor AtkinsonT"
"🔪USAFA 2",3rd,Opening Opposition,"Rachel DamesC, Caitlyn Gray, Ella Henry"
"🥥USAFA 3",4th,Opening Opposition,"Francois BritsC, Christina Wang"
"🔧USAFA 4",2nd,Opening Government,"Joshua HarperC, Quang Trịnh"
"🗝USC 1",3rd,Opening Opposition,"Ruth SilcoffC, ANGELIQUE SOUTHERN, Chris Perkins"
"🧠USC 2",2nd,Opening Government,"Greg DuBoisC, Diane Chao, Miranda Kerrigan"
"🦐USC 3",4th,Opening Opposition,"Vincent KoonC, Marisa Modugno, Marlene Pierce"
"🧰Vanderbilt 1",3rd,Opening Government,"Senkai HsiaC, Kelsea Schulenberg, Natalie Thomsen"
"⛺Vanderbilt 2",3rd,Opening Government,"Syed Reefat AzizC, Joe Gantt, Micaela Lewis, Anna HoernerT"
"📟Vassar 1",4th,Closing Opposition,"Rachel DamesC, Caitlyn Gray, Ella Henry"
"🎮Vassar 2",1st,Opening Government,"Nikola MichaylovC, Atticus Nelson, Miranda Zigler, Neleah RichardsonT"
"🌱Vassar 3",2nd,Opening Government,"reedC, Anna Ehli, Kate Thomas"
"🛀Vermont 1",1st,Closing Opposition,"Francois BritsC, Christina Wang"
"🎞Wheaton 1",3rd,Opening Opposition,"Alice KreherC, Nick Sitzman, Will Forsyth"
"🐊Wheaton 2",2nd,Closing Opposition,"Jacob WittC, JoAnn Edwards"
"⚾Wheaton 3",2nd,Opening Opposition,"Swing Judge 1C, Sarah Dumaresq"
"😇Wheaton 4",3rd,Opening Government,"Jacob WittC, JoAnn Edwards"
"🥦Willamette 1",2nd,Closing Government,"Sam WoolseyC, Jennifer Yang, Samantha Ross"
"🏰William & Mary 1",3rd,Opening Government,"Jane MentzingerC, Elaina Taylor, Teddy Wyman, Sue RiegerT"
"🌊William & Mary 2",1st,Opening Government,"Jevon HenryC, Becca Poliquin, David Register"
"⚖William & Mary 3",1st,Opening Opposition,"Nikolay AngelovC, Rebecca Pool, Sandro Chumashvili"
"🥬Williams 1",2nd,Opening Government,"Buzz KlingerC, John Rief, Katrina Burlet"
"💼Wisconsin 1",4th,Closing Opposition,"Eva-Marie QuinonesC, Aodh Ó Laoide, Uphie Abdurrahman"
"",,Side,Adjudicators
"💯Wisconsin 2",2nd,Closing Government,"Ben KochC, Alex Anderson, Angelynn Nguyen"
"🍑Wyoming 1",1st,Opening Government,"Alice KreherC, Nick Sitzman, Will Forsyth"
"😣Wyoming 2",1st,Closing Government,"Swing Judge 1C, Sarah Dumaresq"
